Block Type,Fast 96-Well Block (0.1mL),,,,,,,,,,,,,,,,,,,,,,,,
44,D8,false,NA013,Saxitoxin (SxtA),STANDARD,CALFL-RED,NFQ-MGB,29.005,29.040,0.050,"1,000.000",,,false,"400,000.000",false,1,40,,39.159,0.975,-3.350,98.829,3.128,0.886
49,E1,false,NA012,Internal Amplification Control (IAC),UNKNOWN,CALFL-ORNG,NFQ-MGB,30.487,30.500,0.018,,,,false,"100,000.000",false,1,40,,,,,,2.790,0.986
49,E1,false,NA012,Total Cyanobacteria (16S rRNA gene),STANDARD,FAM,NFQ-MGB,33.731,33.416,0.445,100.000,,,false,"250,000.000",false,1,40,,40.628,0.996,-3.735,85.229,2.964,0.542
50,E2,false,NA012,Internal Amplification Control (IAC),UNKNOWN,CALFL-ORNG,NFQ-MGB,30.513,30.500,0.018,,,,false,"100,000.000",false,1,40,,,,,,2.796,0.987
50,E2,false,NA012,Total Cyanobacteria (16S rRNA gene),STANDARD,FAM,NFQ-MGB,33.101,33.416,0.445,100.000,,,false,"250,000.000",false,1,40,,40.628,0.996,-3.735,85.229,2.984,0.627
55,E7,false,NA012,Cylindrospermopsin (cyrA),STANDARD,CALFL-ORNG,NFQ-MGB,32.218,32.446,0.323,100.000,,,false,"125,000.000",false,1,40,,39.232,0.999,-3.381,97.612,2.840,0.976
55,E7,false,NA012,Microcystin/Nodularin (mcyE/ndaF),STANDARD,FAM,NFQ-MGB,32.046,32.269,0.316,100.000,,,false,"300,000.000",false,1,40,,37.798,0.498,-2.809,127.012,3.055,0.952
55,E7,false,NA012,Saxitoxin (SxtA),STANDARD,CALFL-RED,NFQ-MGB,32.232,32.463,0.326,100.000,,,false,"400,000.000",false,1,40,,39.159,0.975,-3.350,98.829,3.067,0.925
56,E8,false,NA012,Cylindrospermopsin (cyrA),STANDARD,CALFL-ORNG,NFQ-MGB,32.675,32.446,0.323,100.000,,,false,"125,000.000",false,1,40,,39.232,0.999,-3.381,97.612,2.822,0.969
56,E8,false,NA012,Microcystin/Nodularin (mcyE/ndaF),STANDARD,FAM,NFQ-MGB,32.493,32.269,0.316,100.000,,,false,"300,000.000",false,1,40,,37.798,0.498,-2.809,127.012,3.032,0.931
56,E8,false,NA012,Saxitoxin (SxtA),STANDARD,CALFL-RED,NFQ-MGB,32.693,32.463,0.326,100.000,,,false,"400,000.000",false,1,40,,39.159,0.975,-3.350,98.829,3.019,0.940
61,F1,false,NTC,Internal Amplification Control (IAC),UNKNOWN,CALFL-ORNG,NFQ-MGB,30.932,30.735,0.279,,,,false,"100,000.000",false,1,40,,,,,,2.782,0.986
61,F1,false,NTC,Total Cyanobacteria (16S rRNA gene),NTC,FAM,NFQ-MGB,Undetermined,,,,,,false,"250,000.000",false,1,40,,40.628,0.996,-3.735,85.229,2.039,0.000
62,F2,false,NTC,Internal Amplification Control (IAC),UNKNOWN,CALFL-ORNG,NFQ-MGB,30.538,30.735,0.279,,,,false,"100,000.000",false,1,40,,,,,,2.803,0.988
62,F2,false,NTC,Total Cyanobacteria (16S rRNA gene),NTC,FAM,NFQ-MGB,Undetermined,,,,,,false,"250,000.000",false,1,40,,40.628,0.996,-3.735,85.229,0.000,0.000
67,F7,false,NTC,Cylindrospermopsin (cyrA),NTC,CALFL-ORNG,NFQ-MGB,Undetermined,,,,,,false,"125,000.000",false,1,40,,39.232,0.999,-3.381,97.612,0.000,0.000
67,F7,false,NTC,Microcystin/Nodularin (mcyE/ndaF),NTC,FAM,NFQ-MGB,Undetermined,,,,,,false,"300,000.000",false,1,40,,37.798,0.498,-2.809,127.012,0.000,0.000
67,F7,false,NTC,Saxitoxin (SxtA),NTC,CALFL-RED,NFQ-MGB,Undetermined,,,,,,false,"400,000.000",false,1,40,,39.159,0.975,-3.350,98.829,0.000,0.000
68,F8,false,NTC,Cylindrospermopsin (cyrA),NTC,CALFL-ORNG,NFQ-MGB,Undetermined,,,,,,false,"125,000.000",false,1,40,,39.232,0.999,-3.381,97.612,0.000,0.000
68,F8,false,NTC,Microcystin/Nodularin (mcyE/ndaF),NTC,FAM,NFQ-MGB,Undetermined,,,,,,false,"300,000.000",false,1,40,,37.798,0.498,-2.809,127.012,1.922,0.000
68,F8,false,NTC,Saxitoxin (SxtA),NTC,CALFL-RED,NFQ-MGB,Undetermined,,,,,,false,"400,000.000",false,1,40,,39.159,0.975,-3.350,98.829,2.138,0.000
